DATE,VALUE
2018-01-01,3.5963
2018-01-02,3.5233
2018-01-03,3.6216
2018-01-04,3.6051
2018-01-05,3.5757
2018-01-08,3.5513
2018-01-09,3.5316
2018-01-10,3.6120
2018-01-11,3.6080
2018-01-12,3.4791
2018-01-15,3.5093
2018-01-16,3.4707
2018-01-17,3.5168
2018-01-18,3.5691
2018-01-19,3.6535
2018-01-22,3.5956
2018-01-23,3.4574
2018-01-24,3.4506
2018-01-25,3.4489
2018-01-26,3.3555
2018-01-29,3.4217
2018-01-30,3.5274
2018-01-31,3.4570
2018-02-01,3.5068
2018-02-02,3.5361
2018-02-05,3.6007
2018-02-06,3.6880
2018-02-07,3.6982
2018-02-08,3.6077
2018-02-09,3.6069
2018-02-12,3.6425
2018-02-13,3.6326
2018-02-14,3.6849
2018-02-15,3.6711
2018-02-16,3.6855
2018-02-19,3.6694
2018-02-20,3.7595
2018-02-21,3.7962
2018-02-22,3.7776
2018-02-23,3.7495
2018-02-26,3.8828
2018-02-27,3.9693
2018-02-28,3.9795
2018-03-01,4.0126
2018-03-02,3.9598
2018-03-05,3.8945
2018-03-06,4.0377
2018-03-07,4.0406
2018-03-08,3.9860
2018-03-09,4.0329
2018-03-12,3.9943
2018-03-13,3.9995
2018-03-14,4.0388
2018-03-15,3.9555
2018-03-16,4.0351
2018-03-19,4.0577
2018-03-20,4.0564
2018-03-21,4.0456
2018-03-22,4.1340
2018-03-23,4.1692
2018-03-26,4.1920
2018-03-27,4.2641
2018-03-28,4.3422
2018-03-29,4.4049
2018-03-30,4.4401
2018-04-02,4.3787
2018-04-03,4.3581
2018-04-04,4.4443
2018-04-05,4.3800
2018-04-06,4.3250
2018-04-09,4.3402
2018-04-10,4.3865
2018-04-11,4.3422
2018-04-12,4.2618
2018-04-13,4.2297
2018-04-16,4.1568
2018-04-17,4.0740
2018-04-18,4.0122
2018-04-19,3.9152
2018-04-20,3.9485
2018-04-23,3.8474
2018-04-24,3.7654
2018-04-25,3.8128
2018-04-26,3.7803
2018-04-27,3.7815
2018-04-30,3.9337
2018-05-01,3.9655
2018-05-02,3.9363
2018-05-03,3.8545
2018-05-04,3.9214
2018-05-07,3.8144
2018-05-08,3.7485
2018-05-09,3.6842
2018-05-10,3.6490
2018-05-11,3.7415
2018-05-14,3.6509
2018-05-15,3.6552
2018-05-16,3.5805
2018-05-17,3.5806
2018-05-18,3.5843
