DATE,VALUE
2018-01-01,59.4337
2018-01-02,58.3778
2018-01-03,58.4900
2018-01-04,58.1982
2018-01-05,57.7121
2018-01-08,58.1407
2018-01-09,59.7305
2018-01-10,61.6867
2018-01-11,61.2534
2018-01-12,61.3276
2018-01-15,60.2277
2018-01-16,60.1095
2018-01-17,63.9074
2018-01-18,64.8301
2018-01-19,63.9725
2018-01-22,65.7309
2018-01-23,68.5079
2018-01-24,67.0517
2018-01-25,66.7775
2018-01-26,67.0389
2018-01-29,68.0850
2018-01-30,68.3909
2018-01-31,68.6605
2018-02-01,67.7323
2018-02-02,65.9936
2018-02-05,66.1908
2018-02-06,65.7388
2018-02-07,62.4595
2018-02-08,63.0510
2018-02-09,60.8340
2018-02-12,62.4913
2018-02-13,63.3158
2018-02-14,62.5991
2018-02-15,62.0020
2018-02-16,63.5826
2018-02-19,64.8619
2018-02-20,65.9219
2018-02-21,66.7618
2018-02-22,63.4432
2018-02-23,63.2689
2018-02-26,61.5663
2018-02-27,62.4595
2018-02-28,62.4189
2018-03-01,62.9384
2018-03-02,62.3849
2018-03-05,63.3629
2018-03-06,64.5930
2018-03-07,63.2800
2018-03-08,65.9288
2018-03-09,66.4685
2018-03-12,67.5469
2018-03-13,66.7554
2018-03-14,65.5024
2018-03-15,61.8788
2018-03-16,63.6666
2018-03-19,64.9438
2018-03-20,64.9041
2018-03-21,60.9468
2018-03-22,61.3842
2018-03-23,60.4209
2018-03-26,60.4563
2018-03-27,58.2330
2018-03-28,60.1677
2018-03-29,59.3481
2018-03-30,58.9276
2018-04-02,57.2023
2018-04-03,58.2495
2018-04-04,56.2666
2018-04-05,56.0237
2018-04-06,56.8225
2018-04-09,57.2951
2018-04-10,57.5466
2018-04-11,56.5870
2018-04-12,55.9335
2018-04-13,55.8584
2018-04-16,56.8151
2018-04-17,57.0844
2018-04-18,58.4713
2018-04-19,59.8256
2018-04-20,60.8191
2018-04-23,60.6883
2018-04-24,61.5592
2018-04-25,62.6717
2018-04-26,62.2674
2018-04-27,60.5450
2018-04-30,60.5567
2018-05-01,60.4082
2018-05-02,57.8498
2018-05-03,58.8729
2018-05-04,57.2750
2018-05-07,57.4953
2018-05-08,56.3146
2018-05-09,57.9951
2018-05-10,60.0553
2018-05-11,58.6143
2018-05-14,58.5892
2018-05-15,59.7524
2018-05-16,58.7885
2018-05-17,60.5174
2018-05-18,58.8495
2018-05-21,58.0525
2018-05-22,58.6820
2018-05-23,56.7433
2018-05-24,57.0748
2018-05-25,58.5309
2018-05-28,56.7858
2018-05-29,56.8927
2018-05-30,55.6707
2018-05-31,55.0566
2018-06-01,53.0409
2018-06-04,52.9891
2018-06-05,53.3557
2018-06-06,53.4398
2018-06-07,54.3250
2018-06-08,53.9597
