DATE,VALUE
2018-01-01,2.4075
2018-01-02,2.3752
2018-01-03,2.3599
2018-01-04,2.3443
2018-01-05,2.3777
2018-01-08,2.3132
2018-01-09,2.2320
2018-01-10,.
2018-01-11,2.2141
2018-01-12,2.1578
2018-01-15,2.1227
2018-01-16,2.1124
2018-01-17,2.1604
2018-01-18,2.1463
2018-01-19,2.1436
2018-01-22,2.1205
2018-01-23,2.0700
2018-01-24,2.0918
2018-01-25,2.1360
2018-01-26,2.2020
2018-01-29,2.1648
2018-01-30,2.1060
2018-01-31,2.1840
2018-02-01,2.2250
2018-02-02,2.1905
2018-02-05,2.0903
2018-02-06,2.0570
2018-02-07,2.0145
2018-02-08,2.0211
2018-02-09,2.0321
2018-02-12,2.0462
2018-02-13,2.0263
2018-02-14,2.0610
2018-02-15,2.1109
2018-02-16,2.1503
2018-02-19,2.1309
2018-02-20,2.1937
2018-02-21,2.1274
2018-02-22,2.0962
2018-02-23,2.0927
2018-02-26,2.0948
2018-02-27,2.1026
2018-02-28,2.1339
2018-03-01,2.1743
2018-03-02,2.1897
2018-03-05,2.2025
2018-03-06,2.2322
2018-03-07,2.2819
2018-03-08,2.2771
2018-03-09,2.2823
2018-03-12,2.3296
2018-03-13,2.3603
2018-03-14,2.3782
2018-03-15,2.4357
2018-03-16,2.4244
2018-03-19,2.3995
2018-03-20,2.3756
2018-03-21,2.4163
2018-03-22,2.4347
2018-03-23,2.5212
2018-03-26,2.4922
2018-03-27,2.4800
2018-03-28,2.5063
2018-03-29,2.4453
2018-03-30,2.4008
2018-04-02,2.4604
2018-04-03,2.4858
2018-04-04,2.4721
2018-04-05,.
2018-04-06,2.5760
2018-04-09,2.6099
2018-04-10,2.6170
2018-04-11,2.7269
2018-04-12,2.6550
2018-04-13,2.7174
2018-04-16,2.7295
2018-04-17,2.7389
2018-04-18,2.7116
2018-04-19,2.7149
2018-04-20,2.7104
2018-04-23,2.7568
2018-04-24,2.7177
2018-04-25,2.6576
2018-04-26,2.6809
2018-04-27,2.6650
2018-04-30,2.6111
2018-05-01,2.5411
2018-05-02,2.5047
2018-05-03,2.4829
2018-05-04,2.4613
2018-05-07,2.4720
2018-05-08,2.5559
2018-05-09,2.5362
2018-05-10,2.5743
2018-05-11,2.5895
2018-05-14,2.6141
2018-05-15,2.5878
2018-05-16,2.6072
2018-05-17,2.6189
2018-05-18,2.5857
2018-05-21,2.6260
2018-05-22,2.6196
2018-05-23,2.6635
2018-05-24,2.6783
2018-05-25,2.6478
2018-05-28,2.6422
2018-05-29,2.6723
2018-05-30,2.6572
2018-05-31,2.7206
2018-06-01,2.7566
2018-06-04,2.7123
2018-06-05,2.6769
2018-06-06,2.6883
2018-06-07,2.6563
2018-06-08,2.5974
2018-06-11,2.5909
2018-06-12,2.6096
2018-06-13,2.6579
2018-06-14,2.5864
2018-06-15,2.5505
2018-06-18,2.5223
2018-06-19,2.5131
2018-06-20,2.5700
2018-06-21,2.5675
2018-06-22,2.5203
2018-06-25,2.4159
2018-06-26,2.4582
2018-06-27,2.4539
2018-06-28,2.4706
2018-06-29,.
2018-07-02,2.5411
2018-07-03,2.5363
2018-07-04,2.5475
2018-07-05,2.5831
2018-07-06,2.5771
2018-07-09,2.6226
2018-07-10,2.6226
2018-07-11,2.6224
2018-07-12,2.5887
2018-07-13,2.5951
2018-07-16,2.6373
2018-07-17,2.6556
2018-07-18,2.6165
2018-07-19,2.6192
2018-07-20,2.5845
2018-07-23,2.6800
2018-07-24,2.6826
2018-07-25,2.6896
2018-07-26,2.6798
2018-07-27,2.6560
2018-07-30,2.6186
2018-07-31,2.6156
2018-08-01,2.6034
2018-08-02,2.5888
2018-08-03,2.5940
2018-08-06,2.6597
2018-08-07,2.6349
2018-08-08,2.6665
2018-08-09,2.6348
2018-08-10,2.6850
2018-08-13,2.6431
2018-08-14,2.6587
2018-08-15,2.6202
2018-08-16,2.6867
2018-08-17,2.7293
2018-08-20,2.7124
2018-08-21,2.7321
2018-08-22,2.6767
2018-08-23,2.6963
2018-08-24,2.6816
2018-08-27,2.6482
2018-08-28,2.5888
2018-08-29,2.5800
2018-08-30,2.5801
2018-08-31,2.5566
2018-09-03,2.5953
2018-09-04,2.5717
2018-09-05,2.5802
2018-09-06,2.6123
2018-09-07,2.6333
2018-09-10,2.5694
2018-09-11,2.5758
2018-09-12,2.5342
2018-09-13,2.5601
2018-09-14,2.5069
2018-09-17,2.4955
2018-09-18,2.4257
2018-09-19,2.4696
2018-09-20,2.4807
2018-09-21,2.5357
2018-09-24,.
2018-09-25,2.5618
2018-09-26,2.5791
2018-09-27,2.6245
2018-09-28,2.6377
2018-10-01,2.6521
2018-10-02,2.6132
2018-10-03,2.5928
2018-10-04,2.5597
2018-10-05,2.5268
2018-10-08,2.4919
2018-10-09,2.4782
2018-10-10,2.4463
2018-10-11,2.4839
2018-10-12,2.4618
2018-10-15,2.4432
2018-10-16,2.4731
2018-10-17,2.4261
2018-10-18,2.4565
2018-10-19,2.4425
2018-10-22,2.4333
2018-10-23,2.4342
2018-10-24,2.4353
2018-10-25,2.4035
2018-10-26,2.3795
2018-10-29,2.3671
2018-10-30,2.3647
2018-10-31,2.3137
2018-11-01,2.3697
2018-11-02,2.3990
2018-11-05,2.4476
2018-11-06,2.4421
2018-11-07,2.3790
2018-11-08,2.3751
2018-11-09,2.3839
2018-11-12,2.3122
2018-11-13,2.3380
2018-11-14,2.4154
2018-11-15,2.4330
2018-11-16,2.3693
2018-11-19,2.3660
2018-11-20,2.4851
2018-11-21,2.4549
2018-11-22,2.4511
2018-11-23,2.4751
2018-11-26,2.4957
2018-11-27,2.4614
2018-11-28,2.4147
2018-11-29,2.3672
2018-11-30,2.3567
2018-12-03,2.3760
2018-12-04,2.4185
2018-12-05,2.4756
2018-12-06,2.4677
2018-12-07,2.5079
2018-12-10,2.5757
2018-12-11,2.5983
2018-12-12,2.6657
2018-12-13,2.5882
2018-12-14,2.6253
2018-12-17,2.5752
2018-12-18,.
2018-12-19,2.5675
2018-12-20,2.5663
2018-12-21,2.5677
2018-12-24,2.5553
2018-12-25,2.5245
2018-12-26,2.4833
2018-12-27,2.4924
2018-12-28,2.5249
2018-12-31,2.5710
2019-01-01,2.5680
2019-01-02,2.5829
2019-01-03,2.6517
2019-01-04,2.7200
2019-01-07,2.6991
2019-01-08,2.6932
2019-01-09,2.7110
2019-01-10,2.7030
2019-01-11,2.7413
2019-01-14,2.7647
2019-01-15,2.8198
2019-01-16,2.7830
2019-01-17,2.7801
2019-01-18,2.6982
2019-01-21,2.7298
2019-01-22,2.7860
2019-01-23,2.8193
2019-01-24,2.8019
2019-01-25,2.7543
2019-01-28,2.8040
2019-01-29,2.7551
2019-01-30,2.7949
2019-01-31,2.8942
2019-02-01,2.9049
