DATE,VALUE
2018-01-01,114.7612
2018-01-02,115.2840
2018-01-03,114.8206
2018-01-04,115.0762
2018-01-05,115.5540
2018-01-08,115.2349
2018-01-09,115.2065
2018-01-10,115.5471
2018-01-11,115.0955
2018-01-12,115.4541
2018-01-15,115.8061
2018-01-16,115.6375
2018-01-17,115.4684
2018-01-18,115.5780
2018-01-19,115.2714
2018-01-22,114.5726
2018-01-23,114.8338
2018-01-24,115.1104
2018-01-25,114.9246
2018-01-26,114.3763
2018-01-29,114.1594
2018-01-30,113.6879
2018-01-31,113.3831
2018-02-01,113.6957
2018-02-02,113.6464
2018-02-05,113.2540
2018-02-06,112.8434
2018-02-07,113.3016
2018-02-08,113.5306
2018-02-09,113.9664
2018-02-12,113.7629
2018-02-13,114.3779
2018-02-14,114.5436
2018-02-15,114.7066
2018-02-16,114.0158
2018-02-19,114.1956
2018-02-20,114.7124
2018-02-21,114.9147
2018-02-22,115.2615
2018-02-23,115.3530
2018-02-26,115.5576
2018-02-27,115.2925
2018-02-28,115.1643
2018-03-01,115.8799
2018-03-02,115.8958
2018-03-05,115.7919
2018-03-06,115.3788
2018-03-07,115.7047
2018-03-08,116.1601
2018-03-09,115.8728
2018-03-12,115.6961
2018-03-13,115.8870
2018-03-14,115.5811
2018-03-15,115.7688
2018-03-16,115.0809
2018-03-19,114.3346
2018-03-20,114.2053
2018-03-21,114.2726
2018-03-22,113.9414
2018-03-23,113.7514
2018-03-26,113.8569
2018-03-27,113.3235
2018-03-28,113.1773
2018-03-29,113.7001
2018-03-30,113.6656
2018-04-02,114.2099
2018-04-03,113.8399
2018-04-04,113.3952
2018-04-05,113.8025
2018-04-06,115.2247
2018-04-09,114.2574
2018-04-10,114.5612
2018-04-11,114.6183
2018-04-12,114.3065
2018-04-13,114.8138
2018-04-16,115.8390
2018-04-17,116.4771
2018-04-18,116.1438
2018-04-19,115.9148
2018-04-20,115.0777
2018-04-23,115.0393
2018-04-24,114.9449
2018-04-25,113.9214
2018-04-26,114.0706
2018-04-27,114.0973
2018-04-30,114.3210
2018-05-01,114.9529
2018-05-02,114.1423
2018-05-03,114.2481
2018-05-04,114.3738
2018-05-07,114.1856
2018-05-08,113.4950
2018-05-09,114.0761
2018-05-10,113.7867
2018-05-11,114.0682
2018-05-14,113.2081
2018-05-15,113.7893
2018-05-16,114.3740
2018-05-17,113.6911
2018-05-18,113.7781
2018-05-21,113.9753
2018-05-22,113.7273
2018-05-23,114.0222
2018-05-24,113.5552
2018-05-25,113.0520
2018-05-28,113.4101
2018-05-29,113.2691
2018-05-30,112.8126
2018-05-31,113.8277
2018-06-01,114.3608
2018-06-04,114.5377
2018-06-05,114.7972
2018-06-06,114.9012
2018-06-07,115.1571
2018-06-08,114.7926
2018-06-11,114.4244
2018-06-12,113.8657
2018-06-13,113.9010
2018-06-14,113.3585
2018-06-15,113.2513
2018-06-18,113.1883
2018-06-19,113.1923
2018-06-20,113.5241
2018-06-21,114.0585
2018-06-22,114.2398
2018-06-25,114.3236
2018-06-26,114.6231
2018-06-27,114.4345
2018-06-28,115.1940
2018-06-29,115.3835
2018-07-02,115.2833
2018-07-03,114.9876
2018-07-04,114.8944
2018-07-05,114.2251
2018-07-06,114.3321
2018-07-09,114.5029
2018-07-10,114.8335
2018-07-11,114.6458
2018-07-12,114.1262
2018-07-13,113.7020
2018-07-16,114.5703
2018-07-17,115.7344
2018-07-18,116.6859
2018-07-19,116.9868
2018-07-20,116.7573
2018-07-23,116.6950
2018-07-24,117.4712
2018-07-25,117.8218
2018-07-26,117.9504
2018-07-27,118.8101
2018-07-30,119.2253
2018-07-31,120.3369
2018-08-01,119.7125
2018-08-02,119.7266
2018-08-03,120.7589
2018-08-06,121.3892
2018-08-07,121.9599
2018-08-08,121.7903
2018-08-09,121.7711
2018-08-10,121.3522
2018-08-13,120.8459
2018-08-14,120.9074
2018-08-15,120.6250
2018-08-16,120.4638
2018-08-17,120.3661
2018-08-20,120.4968
2018-08-21,120.6550
2018-08-22,120.4398
2018-08-23,120.7718
2018-08-24,121.2395
2018-08-27,121.8094
2018-08-28,122.1654
2018-08-29,121.9863
2018-08-30,121.4034
2018-08-31,121.0406
2018-09-03,121.8275
2018-09-04,121.7529
2018-09-05,121.8296
2018-09-06,121.2919
2018-09-07,121.8668
2018-09-10,122.1432
2018-09-11,122.4643
2018-09-12,122.8934
2018-09-13,122.0253
2018-09-14,122.0231
2018-09-17,121.0617
2018-09-18,119.8714
2018-09-19,119.5401
2018-09-20,119.3663
2018-09-21,119.7057
2018-09-24,119.4109
2018-09-25,118.7568
2018-09-26,117.9870
2018-09-27,117.6728
2018-09-28,117.0326
2018-10-01,116.5543
2018-10-02,116.6991
2018-10-03,116.7570
2018-10-04,115.4148
2018-10-05,115.7211
2018-10-08,115.8042
2018-10-09,115.9486
2018-10-10,116.8067
2018-10-11,116.7112
2018-10-12,117.0785
2018-10-15,116.7304
2018-10-16,117.0622
2018-10-17,117.1589
2018-10-18,116.7728
2018-10-19,116.7939
2018-10-22,117.0955
2018-10-23,117.4265
2018-10-24,117.4631
2018-10-25,117.8914
2018-10-26,118.5751
2018-10-29,118.8603
2018-10-30,118.9013
2018-10-31,119.1700
2018-11-01,119.1237
2018-11-02,119.1562
2018-11-05,119.1196
2018-11-06,119.3362
2018-11-07,119.5506
2018-11-08,118.9262
2018-11-09,119.1899
2018-11-12,119.5806
2018-11-13,118.9095
2018-11-14,119.0118
2018-11-15,118.8225
2018-11-16,118.7802
2018-11-19,118.7216
2018-11-20,118.5900
2018-11-21,119.0834
2018-11-22,119.2748
2018-11-23,119.1078
2018-11-26,119.1425
2018-11-27,118.8020
2018-11-28,119.4899
2018-11-29,119.4885
2018-11-30,119.8147
2018-12-03,119.1490
2018-12-04,118.4176
2018-12-05,119.2576
2018-12-06,118.5654
2018-12-07,118.4471
2018-12-10,119.0269
2018-12-11,119.6478
2018-12-12,119.8044
2018-12-13,119.1264
2018-12-14,119.6386
2018-12-17,118.3884
2018-12-18,118.8810
2018-12-19,119.1738
2018-12-20,119.3831
2018-12-21,119.1095
2018-12-24,118.5420
2018-12-25,118.2930
2018-12-26,117.2910
2018-12-27,117.5228
2018-12-28,117.1499
2018-12-31,117.4521
2019-01-01,118.1705
2019-01-02,118.3113
2019-01-03,119.3836
2019-01-04,119.4735
2019-01-07,120.1529
2019-01-08,120.3358
2019-01-09,120.6232
2019-01-10,120.7198
2019-01-11,120.0104
2019-01-14,120.0690
2019-01-15,119.1357
2019-01-16,119.1520
2019-01-17,118.3021
2019-01-18,118.3537
2019-01-21,119.3951
2019-01-22,118.7596
2019-01-23,119.6512
2019-01-24,119.9703
2019-01-25,119.1580
2019-01-28,119.7455
2019-01-29,120.1354
2019-01-30,120.3785
2019-01-31,120.7831
2019-02-01,121.2932
2019-02-04,121.3717
2019-02-05,120.9112
2019-02-06,121.1827
2019-02-07,121.9157
2019-02-08,121.9868
2019-02-11,121.8435
2019-02-12,121.8983
2019-02-13,122.6214
2019-02-14,122.4077
2019-02-15,122.4381
2019-02-18,122.4057
2019-02-19,122.8107
2019-02-20,123.0659
2019-02-21,122.5339
2019-02-22,122.3049
2019-02-25,122.3682
2019-02-26,122.8988
2019-02-27,122.5166
2019-02-28,122.5730
2019-03-01,122.8096
2019-03-04,123.0416
2019-03-05,123.3419
2019-03-06,123.7009
2019-03-07,123.6509
2019-03-08,123.8777
2019-03-11,125.0083
2019-03-12,124.4880
2019-03-13,125.2741
2019-03-14,125.5797
2019-03-15,124.4067
2019-03-18,123.9439
2019-03-19,123.4707
2019-03-20,123.5547
2019-03-21,124.6536
2019-03-22,123.8833
2019-03-25,123.6000
2019-03-26,124.0634
2019-03-27,123.2666
2019-03-28,123.4478
2019-03-29,124.2030
2019-04-01,124.3227
2019-04-02,123.5627
2019-04-03,124.1751
2019-04-04,123.7042
2019-04-05,123.1328
2019-04-08,123.0770
2019-04-09,122.8925
2019-04-10,122.7991
2019-04-11,122.8515
2019-04-12,122.2880
2019-04-15,122.0517
2019-04-16,122.4392
2019-04-17,122.4117
2019-04-18,123.1710
2019-04-19,123.7836
2019-04-22,123.2492
2019-04-23,123.4287
2019-04-24,123.6170
2019-04-25,124.1425
2019-04-26,124.6213
2019-04-29,124.7553
2019-04-30,125.0419
2019-05-01,124.8072
2019-05-02,124.5216
2019-05-03,124.0249
2019-05-06,123.9020
2019-05-07,123.5088
2019-05-08,123.4104
2019-05-09,123.5740
2019-05-10,124.5977
2019-05-13,124.5782
2019-05-14,125.3647
2019-05-15,125.4598
2019-05-16,126.3047
2019-05-17,126.8737
2019-05-20,126.7675
2019-05-21,125.8615
2019-05-22,125.6658
2019-05-23,125.9640
2019-05-24,126.5569
2019-05-27,125.8719
2019-05-28,126.0161
2019-05-29,126.0577
2019-05-30,125.7596
2019-05-31,125.5410
2019-06-03,125.4634
2019-06-04,125.4197
2019-06-05,125.9338
2019-06-06,126.2085
2019-06-07,126.9006
2019-06-10,126.6261
2019-06-11,127.2811
2019-06-12,126.3812
2019-06-13,127.1996
2019-06-14,127.8654
2019-06-17,127.2760
2019-06-18,126.9949
2019-06-19,127.5265
2019-06-20,127.8086
2019-06-21,127.8650
2019-06-24,127.6292
2019-06-25,127.1163
2019-06-26,127.1911
2019-06-27,127.6256
2019-06-28,128.0243
2019-07-01,128.6077
2019-07-02,128.3737
2019-07-03,127.9394
2019-07-04,127.7927
2019-07-05,128.1109
2019-07-08,127.7246
2019-07-09,128.0060
2019-07-10,127.6602
2019-07-11,127.3645
2019-07-12,126.9460
2019-07-15,127.1985
2019-07-16,127.0211
2019-07-17,127.7856
2019-07-18,128.0173
2019-07-19,128.1437
2019-07-22,127.3709
2019-07-23,127.1524
2019-07-24,127.5271
2019-07-25,127.1926
2019-07-26,127.4816
2019-07-29,127.2430
2019-07-30,127.0966
2019-07-31,126.5305
2019-08-01,127.5929
2019-08-02,127.5126
2019-08-05,127.2637
2019-08-06,126.6542
2019-08-07,126.6985
2019-08-08,126.5390
