DATE,VALUE
2018-01-05,218996
2018-01-12,225800
2018-01-19,246480
2018-01-26,264933
2018-02-02,270168
2018-02-09,259421
2018-02-16,240033
2018-02-23,254783
2018-03-02,252463
2018-03-09,224880
2018-03-16,257036
2018-03-23,241367
2018-03-30,225754
2018-04-06,214696
2018-04-13,236307
2018-04-20,218068
2018-04-27,226098
2018-05-04,239769
2018-05-11,265413
2018-05-18,252901
2018-05-25,243820
2018-06-01,252950
2018-06-08,256765
2018-06-15,227036
2018-06-22,254905
2018-06-29,234921
2018-07-06,219005
2018-07-13,228475
2018-07-20,236079
2018-07-27,229627
2018-08-03,207251
2018-08-10,216255
2018-08-17,216567
2018-08-24,216266
2018-08-31,226349
2018-09-07,235160
2018-09-14,228001
2018-09-21,196503
2018-09-28,164546
2018-10-05,164714
2018-10-12,150000
2018-10-19,168608
2018-10-26,194474
2018-11-02,219214
2018-11-09,227252
2018-11-16,254005
2018-11-23,226601
2018-11-30,229985
2018-12-07,203103
2018-12-14,227091
2018-12-21,225295
2018-12-28,198926
2019-01-04,214080
2019-01-11,236947
2019-01-18,223655
2019-01-25,232246
2019-02-01,225414
2019-02-08,231857
2019-02-15,227549
2019-02-22,212639
2019-03-01,219327
2019-03-08,189306
2019-03-15,207597
2019-03-22,206172
2019-03-29,210328
2019-04-05,236068
2019-04-12,232972
2019-04-19,244029
2019-04-26,255584
2019-05-03,241064
2019-05-10,246307
2019-05-17,240064
2019-05-24,234932
2019-05-31,238835
2019-06-07,233209
2019-06-14,227384
2019-06-21,233264
2019-06-28,217783
2019-07-05,223272
2019-07-12,218412
2019-07-19,243407
2019-07-26,245721
2019-08-02,237252
2019-08-09,202800
2019-08-16,216985
2019-08-23,232141
2019-08-30,241670
2019-09-06,250059
2019-09-13,226759
2019-09-20,212581
2019-09-27,233082
2019-10-04,235275
2019-10-11,225959
2019-10-18,216293
2019-10-25,230227
2019-11-01,200930
2019-11-08,220501
2019-11-15,234107
2019-11-22,225659
2019-11-29,223632
2019-12-06,224226
2019-12-13,192088
2019-12-20,196194
2019-12-27,210288
2020-01-03,196286
2020-01-10,214115
2020-01-17,223686
2020-01-24,202935
2020-01-31,198815
2020-02-07,188545
2020-02-14,212830
2020-02-21,191141
2020-02-28,209342
2020-03-06,185418
2020-03-13,206927
2020-03-20,222357
2020-03-27,256849
2020-04-03,225677
2020-04-10,256138
2020-04-17,236161
2020-04-24,236736
2020-05-01,224209
2020-05-08,229235
2020-05-15,234975
2020-05-22,224662
2020-05-29,225096
2020-06-05,215733
2020-06-12,211507
2020-06-19,228292
2020-06-26,204646
2020-07-03,198854
2020-07-10,207136
2020-07-17,212950
2020-07-24,247744
2020-07-31,231096
2020-08-07,236139
2020-08-14,240467
2020-08-21,225521
2020-08-28,243355
2020-09-04,230900
2020-09-11,229236
2020-09-18,212922
2020-09-25,186996
2020-10-02,198290
2020-10-09,221923
2020-10-16,224524
2020-10-23,240726
2020-10-30,249106
2020-11-06,235203
2020-11-13,236170
2020-11-20,227731
2020-11-27,249676
2020-12-04,250887
2020-12-11,220463
2020-12-18,204802
2020-12-25,207215
2021-01-01,197881
2021-01-08,204516
2021-01-15,208389
2021-01-22,247354
2021-01-29,247289
2021-02-05,237368
2021-02-12,251682
2021-02-19,226877
2021-02-26,223775
2021-03-05,224968
2021-03-12,215562
2021-03-19,214488
2021-03-26,218739
2021-04-02,204952
2021-04-09,232270
2021-04-16,239463
2021-04-23,241141
2021-04-30,249722
2021-05-07,255933
2021-05-14,260928
2021-05-21,257748
2021-05-28,226712
2021-06-04,230439
2021-06-11,212090
2021-06-18,232860
2021-06-25,266049
2021-07-02,264710
2021-07-09,264789
2021-07-16,229246
2021-07-23,226117
2021-07-30,240051
2021-08-06,236772
2021-08-13,201094
2021-08-20,223427
2021-08-27,227390
2021-09-03,236737
2021-09-10,239782
2021-09-17,225870
2021-09-24,230565
2021-10-01,247535
2021-10-08,243958
2021-10-15,249167
2021-10-22,270761
2021-10-29,266562
2021-11-05,260575
2021-11-12,247080
2021-11-19,250191
2021-11-26,232867
2021-12-03,262686
2021-12-10,274812
2021-12-17,271519
2021-12-24,306505
2021-12-31,276438
2022-01-07,258861
2022-01-14,294132
2022-01-21,305519
2022-01-28,298298
2022-02-04,279489
2022-02-11,278849
2022-02-18,296224
2022-02-25,284242
2022-03-04,258538
2022-03-11,247722
2022-03-18,242531
2022-03-25,243682
2022-04-01,235600
2022-04-08,228083
2022-04-15,215758
2022-04-22,231750
2022-04-29,261556
2022-05-06,254082
2022-05-13,248442
2022-05-20,228568
2022-05-27,228640
2022-06-03,241550
2022-06-10,221932
2022-06-17,200137
2022-06-24,200376
2022-07-01,188759
2022-07-08,177306
2022-07-15,210252
2022-07-22,213103
2022-07-29,197206
2022-08-05,193059
2022-08-12,185923
2022-08-19,204029
2022-08-26,185403
2022-09-02,208823
2022-09-09,207810
