DATE,VALUE
2018-01-01,2699.2949
2018-01-02,2692.6778
2018-01-03,2647.2227
2018-01-04,2640.4824
2018-01-05,2634.7579
2018-01-08,2594.9635
2018-01-09,2560.6989
2018-01-10,.
2018-01-11,2628.7115
2018-01-12,2623.1644
2018-01-15,2575.1605
2018-01-16,2562.5742
2018-01-17,2560.2708
2018-01-18,2579.3242
2018-01-19,2617.1417
2018-01-22,2615.8287
2018-01-23,2644.6811
2018-01-24,2625.8190
2018-01-25,2603.1160
2018-01-26,2574.1508
2018-01-29,2574.6927
2018-01-30,2534.2819
2018-01-31,2526.8649
2018-02-01,2520.4203
2018-02-02,2493.5237
2018-02-05,2498.2876
2018-02-06,2539.7408
2018-02-07,2550.4866
2018-02-08,2572.2975
2018-02-09,2614.4524
2018-02-12,2582.7057
2018-02-13,2579.2116
2018-02-14,2596.0857
2018-02-15,2584.7274
2018-02-16,2565.4125
2018-02-19,2563.4673
2018-02-20,2536.4406
2018-02-21,2520.8061
2018-02-22,2545.3098
2018-02-23,2549.3008
2018-02-26,2542.4279
2018-02-27,2543.4353
2018-02-28,2574.0850
2018-03-01,2559.2201
2018-03-02,2575.8810
2018-03-05,2549.6708
2018-03-06,2529.3612
2018-03-07,2569.4987
2018-03-08,2635.5800
2018-03-09,2625.2545
2018-03-12,2597.9933
2018-03-13,2564.5381
2018-03-14,2575.6206
2018-03-15,2559.5226
2018-03-16,2530.3784
2018-03-19,2533.2429
2018-03-20,2468.7897
2018-03-21,2496.8567
2018-03-22,2528.6589
2018-03-23,2597.3208
2018-03-26,2700.6877
2018-03-27,2713.2514
2018-03-28,2757.8410
2018-03-29,2743.4332
2018-03-30,2746.6469
2018-04-02,2800.6252
2018-04-03,2732.8531
2018-04-04,2749.7765
2018-04-05,2743.2379
2018-04-06,2767.1995
2018-04-09,2800.2217
2018-04-10,2833.9196
2018-04-11,2847.2271
2018-04-12,2868.0419
2018-04-13,2922.6316
2018-04-16,2965.3092
2018-04-17,3001.2042
2018-04-18,3026.1964
2018-04-19,3052.7488
2018-04-20,3089.0919
2018-04-23,3127.1199
2018-04-24,3094.2723
2018-04-25,3004.3812
2018-04-26,2984.7384
2018-04-27,2986.7540
2018-04-30,2948.6121
2018-05-01,2869.7488
2018-05-02,2839.0818
2018-05-03,2864.7196
2018-05-04,2881.7663
2018-05-07,2973.8299
2018-05-08,2985.3112
2018-05-09,3045.1402
2018-05-10,3073.9745
2018-05-11,3097.1535
2018-05-14,3089.9304
2018-05-15,3055.0420
2018-05-16,3067.5723
2018-05-17,3055.0865
2018-05-18,3091.8071
2018-05-21,3105.3627
2018-05-22,3115.6740
2018-05-23,3117.5971
2018-05-24,3110.6211
2018-05-25,.
2018-05-28,3115.9704
2018-05-29,3167.9484
2018-05-30,3150.9231
2018-05-31,3202.2283
2018-06-01,3221.8508
2018-06-04,3196.9345
2018-06-05,3177.3604
2018-06-06,3179.6382
2018-06-07,3201.2864
2018-06-08,3268.5615
2018-06-11,3290.0881
2018-06-12,3246.9596
2018-06-13,3310.4185
2018-06-14,3294.1951
2018-06-15,3336.3920
2018-06-18,3301.9336
2018-06-19,3264.9867
2018-06-20,3290.9944
2018-06-21,3205.4455
2018-06-22,3210.8616
2018-06-25,3194.8086
2018-06-26,3191.2528
2018-06-27,3183.3312
2018-06-28,3214.9553
