DATE,VALUE
2018-01-01,0.5228
2018-01-02,0.5634
2018-01-03,0.5470
2018-01-04,0.5049
2018-01-05,0.5297
2018-01-08,0.5582
2018-01-09,0.5710
2018-01-10,0.5875
2018-01-11,0.5398
2018-01-12,0.5707
2018-01-15,0.5201
2018-01-16,0.5155
2018-01-17,0.4901
2018-01-18,0.4963
2018-01-19,0.4921
2018-01-22,0.4787
2018-01-23,0.4575
2018-01-24,0.4451
2018-01-25,0.3757
2018-01-26,0.4174
2018-01-29,0.4014
2018-01-30,0.3624
2018-01-31,0.3631
2018-02-01,0.4199
2018-02-02,0.4326
2018-02-05,0.4499
2018-02-06,0.4506
2018-02-07,0.4609
2018-02-08,0.4984
2018-02-09,0.4818
2018-02-12,0.5417
2018-02-13,0.5578
2018-02-14,0.5711
2018-02-15,0.5533
2018-02-16,0.5690
2018-02-19,0.5807
2018-02-20,0.5526
2018-02-21,0.5216
2018-02-22,0.5247
2018-02-23,0.5824
2018-02-26,0.5972
2018-02-27,0.6181
2018-02-28,0.6048
2018-03-01,0.5679
2018-03-02,0.5466
2018-03-05,0.5572
2018-03-06,0.5171
2018-03-07,0.5260
2018-03-08,0.5372
2018-03-09,0.5430
2018-03-12,0.5589
2018-03-13,0.5961
2018-03-14,0.6239
2018-03-15,0.5990
2018-03-16,0.6212
2018-03-19,0.5774
2018-03-20,0.4975
2018-03-21,0.4534
2018-03-22,0.5201
2018-03-23,0.5257
2018-03-26,0.5356
2018-03-27,0.5665
2018-03-28,0.5959
2018-03-29,0.5780
2018-03-30,0.6289
2018-04-02,0.6258
2018-04-03,0.6141
2018-04-04,0.6990
2018-04-05,0.6857
2018-04-06,0.6469
2018-04-09,0.6439
2018-04-10,0.6462
2018-04-11,0.6494
2018-04-12,0.6441
2018-04-13,0.6887
2018-04-16,0.6842
2018-04-17,0.6763
2018-04-18,0.7058
2018-04-19,0.7727
2018-04-20,0.7703
2018-04-23,0.7090
2018-04-24,0.6702
2018-04-25,0.6773
2018-04-26,0.6522
2018-04-27,0.6614
2018-04-30,0.6619
2018-05-01,0.7005
2018-05-02,0.6818
2018-05-03,0.7165
2018-05-04,0.6580
2018-05-07,0.6254
2018-05-08,0.6070
2018-05-09,0.5861
2018-05-10,0.6131
2018-05-11,0.5916
2018-05-14,0.6111
2018-05-15,0.6606
2018-05-16,0.6410
2018-05-17,0.6363
2018-05-18,0.6046
2018-05-21,0.6032
2018-05-22,0.6530
2018-05-23,0.6292
2018-05-24,0.6226
2018-05-25,0.6569
2018-05-28,0.6581
2018-05-29,0.6694
2018-05-30,0.6381
2018-05-31,0.6495
2018-06-01,0.6218
2018-06-04,0.6545
2018-06-05,0.6772
2018-06-06,0.6271
2018-06-07,0.6790
2018-06-08,0.6711
2018-06-11,0.6687
2018-06-12,0.6376
2018-06-13,0.6510
2018-06-14,0.6604
2018-06-15,0.6723
2018-06-18,0.6096
2018-06-19,0.5880
2018-06-20,0.5878
2018-06-21,0.6307
2018-06-22,0.6453
2018-06-25,0.6705
2018-06-26,0.6542
2018-06-27,0.6669
2018-06-28,0.6493
2018-06-29,0.6715
2018-07-02,0.6513
2018-07-03,0.6595
2018-07-04,0.6358
2018-07-05,0.6154
2018-07-06,0.6051
2018-07-09,0.6160
2018-07-10,0.6039
2018-07-11,0.5741
2018-07-12,0.5560
2018-07-13,0.5722
2018-07-16,0.5682
2018-07-17,0.5881
2018-07-18,0.5831
2018-07-19,0.5788
2018-07-20,0.5705
2018-07-23,0.5635
2018-07-24,0.6063
2018-07-25,0.5627
2018-07-26,0.6171
2018-07-27,0.6297
2018-07-30,0.6178
2018-07-31,0.6055
2018-08-01,0.5839
2018-08-02,0.5623
2018-08-03,0.5730
2018-08-06,0.5858
2018-08-07,0.6075
2018-08-08,0.6237
2018-08-09,0.6205
2018-08-10,0.6898
2018-08-13,0.6972
2018-08-14,0.7350
2018-08-15,0.7354
2018-08-16,0.7662
2018-08-17,0.7505
2018-08-20,0.7546
2018-08-21,0.7886
2018-08-22,0.7910
2018-08-23,0.7245
2018-08-24,0.7235
2018-08-27,0.7045
2018-08-28,0.6800
2018-08-29,0.7111
2018-08-30,0.6847
2018-08-31,0.6894
2018-09-03,0.6591
2018-09-04,0.6830
2018-09-05,0.7066
2018-09-06,0.7088
2018-09-07,0.7250
2018-09-10,0.7510
2018-09-11,0.7469
2018-09-12,0.7990
2018-09-13,0.7821
2018-09-14,0.7796
2018-09-17,0.7479
2018-09-18,0.7698
2018-09-19,0.7757
2018-09-20,0.7730
2018-09-21,0.8074
2018-09-24,0.7875
2018-09-25,0.8261
2018-09-26,0.8220
2018-09-27,0.8480
2018-09-28,0.7946
2018-10-01,0.8265
2018-10-02,0.8206
2018-10-03,0.7968
2018-10-04,0.7950
2018-10-05,0.7861
2018-10-08,0.7729
2018-10-09,0.7741
2018-10-10,0.7943
2018-10-11,0.7594
2018-10-12,0.7151
2018-10-15,0.6696
2018-10-16,0.6407
2018-10-17,0.6414
2018-10-18,0.6142
2018-10-19,0.6320
2018-10-22,0.5957
2018-10-23,0.5777
2018-10-24,0.5631
2018-10-25,0.5997
2018-10-26,0.5992
2018-10-29,0.5768
2018-10-30,0.6276
2018-10-31,0.6546
2018-11-01,0.6922
2018-11-02,0.7414
2018-11-05,0.7618
2018-11-06,0.7103
2018-11-07,0.6806
2018-11-08,0.6905
2018-11-09,0.6908
2018-11-12,0.6478
2018-11-13,0.5871
2018-11-14,0.5943
2018-11-15,0.5744
2018-11-16,0.5714
2018-11-19,0.5695
2018-11-20,0.5694
2018-11-21,0.5817
2018-11-22,0.5627
2018-11-23,0.5439
2018-11-26,0.5119
2018-11-27,0.4650
2018-11-28,0.4239
2018-11-29,0.4323
2018-11-30,0.4352
2018-12-03,0.4317
2018-12-04,0.3738
2018-12-05,0.3523
2018-12-06,0.3228
2018-12-07,0.3159
2018-12-10,0.3327
2018-12-11,0.2758
2018-12-12,0.3226
2018-12-13,0.3245
2018-12-14,0.3436
2018-12-17,0.3647
2018-12-18,0.3588
2018-12-19,0.3803
2018-12-20,0.3929
2018-12-21,0.3935
2018-12-24,0.4144
2018-12-25,0.4180
2018-12-26,0.3648
2018-12-27,0.3791
2018-12-28,0.3739
2018-12-31,0.4111
2019-01-01,0.4190
2019-01-02,0.4456
2019-01-03,0.4633
2019-01-04,0.4247
2019-01-07,0.4610
2019-01-08,0.3932
2019-01-09,0.4064
2019-01-10,0.3895
2019-01-11,0.3798
2019-01-14,0.3626
2019-01-15,0.3351
2019-01-16,0.3455
2019-01-17,0.3305
2019-01-18,0.3173
2019-01-21,0.2828
2019-01-22,0.2898
2019-01-23,0.2597
2019-01-24,0.3056
2019-01-25,0.3347
2019-01-28,0.3696
2019-01-29,0.3777
2019-01-30,0.3413
2019-01-31,0.3479
2019-02-01,0.3560
2019-02-04,0.3889
2019-02-05,0.3781
2019-02-06,0.4075
2019-02-07,0.4221
2019-02-08,0.4447
2019-02-11,0.4808
2019-02-12,0.4824
2019-02-13,0.4599
2019-02-14,0.4642
2019-02-15,0.4519
2019-02-18,0.4651
2019-02-19,0.4558
2019-02-20,0.4198
2019-02-21,0.4350
2019-02-22,0.4445
2019-02-25,0.4498
2019-02-26,0.4894
2019-02-27,0.5024
2019-02-28,0.4429
2019-03-01,0.4339
2019-03-04,0.4167
2019-03-05,0.4278
2019-03-06,0.4237
2019-03-07,0.4331
2019-03-08,0.4065
2019-03-11,0.4089
2019-03-12,0.3880
2019-03-13,0.3639
2019-03-14,0.3402
2019-03-15,0.3381
2019-03-18,0.3513
2019-03-19,0.3504
2019-03-20,0.3418
2019-03-21,0.3213
2019-03-22,0.3585
2019-03-25,0.3409
2019-03-26,0.2842
2019-03-27,0.3074
2019-03-28,0.3061
2019-03-29,0.2981
2019-04-01,0.2815
2019-04-02,0.3068
2019-04-03,0.2600
2019-04-04,0.2585
2019-04-05,0.2923
2019-04-08,0.2526
2019-04-09,0.3129
2019-04-10,0.3235
2019-04-11,0.3299
2019-04-12,0.3771
2019-04-15,0.3318
2019-04-16,0.3489
2019-04-17,0.4088
2019-04-18,0.4299
2019-04-19,0.4169
2019-04-22,0.4215
2019-04-23,0.4966
2019-04-24,0.5016
2019-04-25,0.5071
2019-04-26,0.5029
2019-04-29,0.4362
2019-04-30,0.4176
2019-05-01,0.4289
2019-05-02,0.3911
2019-05-03,0.3785
2019-05-06,0.3746
2019-05-07,0.4127
2019-05-08,0.4256
2019-05-09,0.4148
2019-05-10,0.3980
2019-05-13,0.4149
2019-05-14,0.3953
2019-05-15,0.3623
2019-05-16,0.3312
2019-05-17,0.3635
2019-05-20,0.3998
2019-05-21,0.4118
2019-05-22,0.4467
2019-05-23,0.4324
2019-05-24,0.4198
2019-05-27,0.3902
2019-05-28,0.3855
2019-05-29,0.4087
2019-05-30,0.4354
2019-05-31,0.4493
2019-06-03,0.4943
2019-06-04,0.4832
2019-06-05,0.4352
2019-06-06,0.4071
2019-06-07,0.4823
2019-06-10,0.4819
2019-06-11,0.5268
2019-06-12,0.5191
2019-06-13,0.5986
2019-06-14,0.5747
2019-06-17,0.5484
2019-06-18,0.5614
2019-06-19,0.5623
