DATE,VALUE
2018-01-01,1.9860
2018-01-02,2.0340
2018-01-03,2.0347
2018-01-04,2.0459
2018-01-05,2.0349
2018-01-08,2.0820
2018-01-09,2.0358
2018-01-10,2.0560
2018-01-11,1.9840
2018-01-12,1.9649
2018-01-15,1.9140
2018-01-16,1.9279
2018-01-17,1.9253
2018-01-18,1.9441
2018-01-19,1.9457
2018-01-22,1.8981
2018-01-23,1.8544
2018-01-24,1.8835
2018-01-25,1.8815
2018-01-26,1.8494
2018-01-29,1.8292
2018-01-30,1.8329
2018-01-31,1.8764
2018-02-01,1.8803
2018-02-02,1.8647
2018-02-05,1.9101
2018-02-06,1.8693
2018-02-07,1.8210
2018-02-08,1.8424
2018-02-09,1.8577
2018-02-12,1.8713
2018-02-13,1.8869
2018-02-14,1.8489
2018-02-15,1.8593
2018-02-16,1.8383
2018-02-19,1.9018
2018-02-20,1.9112
2018-02-21,1.8967
2018-02-22,1.9387
2018-02-23,1.9528
2018-02-26,1.9601
2018-02-27,1.9667
2018-02-28,1.9870
2018-03-01,1.9916
2018-03-02,1.9301
2018-03-05,1.9061
2018-03-06,1.9026
2018-03-07,1.8685
2018-03-08,1.9001
2018-03-09,1.9165
2018-03-12,1.9171
2018-03-13,1.9212
2018-03-14,1.9112
2018-03-15,1.8842
2018-03-16,1.8984
2018-03-19,1.9270
2018-03-20,1.9223
2018-03-21,1.9709
2018-03-22,1.9615
2018-03-23,1.9977
2018-03-26,1.9794
2018-03-27,1.9759
2018-03-28,2.0105
2018-03-29,2.0156
2018-03-30,2.0459
2018-04-02,2.0740
2018-04-03,2.0340
2018-04-04,2.0435
2018-04-05,2.0465
2018-04-06,2.0325
2018-04-09,2.0047
2018-04-10,2.0178
2018-04-11,2.0457
2018-04-12,2.0293
2018-04-13,2.0245
2018-04-16,2.0445
2018-04-17,2.0199
2018-04-18,2.0876
2018-04-19,2.1037
2018-04-20,2.1427
2018-04-23,2.1425
2018-04-24,2.1778
2018-04-25,2.1686
2018-04-26,2.1494
2018-04-27,2.2386
2018-04-30,2.2582
2018-05-01,2.2453
2018-05-02,2.2586
2018-05-03,2.2286
2018-05-04,2.2043
2018-05-07,2.2486
2018-05-08,2.2517
2018-05-09,2.2809
2018-05-10,2.2925
2018-05-11,2.2720
2018-05-14,2.2390
2018-05-15,2.2222
2018-05-16,2.2136
2018-05-17,2.1977
2018-05-18,2.2274
2018-05-21,2.1993
2018-05-22,2.2143
2018-05-23,2.2457
2018-05-24,2.2295
2018-05-25,2.2609
2018-05-28,2.2790
2018-05-29,2.2895
2018-05-30,2.3212
2018-05-31,2.2922
2018-06-01,2.2610
2018-06-04,2.2498
2018-06-05,2.2045
2018-06-06,2.2502
2018-06-07,2.2599
2018-06-08,2.2361
2018-06-11,2.2264
2018-06-12,2.2224
2018-06-13,2.2016
2018-06-14,2.1897
2018-06-15,2.1972
2018-06-18,2.1898
2018-06-19,2.1577
2018-06-20,2.1512
2018-06-21,2.1313
2018-06-22,2.1671
2018-06-25,2.1775
2018-06-26,2.1855
2018-06-27,2.2623
2018-06-28,2.2208
2018-06-29,2.2261
2018-07-02,2.1828
2018-07-03,2.1801
2018-07-04,2.2335
2018-07-05,2.1973
2018-07-06,2.1858
2018-07-09,2.2439
2018-07-10,2.2681
2018-07-11,2.2785
2018-07-12,2.2492
2018-07-13,2.2770
2018-07-16,2.2887
2018-07-17,2.2975
2018-07-18,2.3029
2018-07-19,2.3296
2018-07-20,2.3273
2018-07-23,2.4242
2018-07-24,2.4230
2018-07-25,2.4028
2018-07-26,2.3920
2018-07-27,2.3695
2018-07-30,2.3439
2018-07-31,2.3608
2018-08-01,2.3809
2018-08-02,2.3741
2018-08-03,2.4384
2018-08-06,2.4319
2018-08-07,2.4041
2018-08-08,2.3508
2018-08-09,2.3472
2018-08-10,2.3905
2018-08-13,2.3888
2018-08-14,2.3443
2018-08-15,2.3476
2018-08-16,2.3129
2018-08-17,2.2985
2018-08-20,2.3298
2018-08-21,2.3661
2018-08-22,2.3278
2018-08-23,2.2953
2018-08-24,2.3182
2018-08-27,2.3033
2018-08-28,2.3001
2018-08-29,2.2544
2018-08-30,2.2112
2018-08-31,2.2100
2018-09-03,2.2276
2018-09-04,2.2257
2018-09-05,2.2646
2018-09-06,2.2642
2018-09-07,2.2854
2018-09-10,2.2910
2018-09-11,2.2581
2018-09-12,2.2595
2018-09-13,2.2198
2018-09-14,2.1883
2018-09-17,2.2025
2018-09-18,2.1871
2018-09-19,2.2360
2018-09-20,2.2072
2018-09-21,2.1836
2018-09-24,2.1179
2018-09-25,2.1304
2018-09-26,2.1294
2018-09-27,2.0989
2018-09-28,2.0656
2018-10-01,2.1218
2018-10-02,2.0927
2018-10-03,2.0829
2018-10-04,2.0915
2018-10-05,2.1113
2018-10-08,2.1140
2018-10-09,2.1170
2018-10-10,2.1306
2018-10-11,2.1524
2018-10-12,2.1332
2018-10-15,2.1558
2018-10-16,2.2012
2018-10-17,2.2432
2018-10-18,2.2710
2018-10-19,2.2623
2018-10-22,2.3195
2018-10-23,2.2946
2018-10-24,2.3021
2018-10-25,2.2870
2018-10-26,2.2485
2018-10-29,2.2386
2018-10-30,2.2214
2018-10-31,2.2388
2018-11-01,2.2360
2018-11-02,2.2152
2018-11-05,2.1947
2018-11-06,2.2121
2018-11-07,2.1524
2018-11-08,2.1797
2018-11-09,2.1779
2018-11-12,2.1601
2018-11-13,2.1414
2018-11-14,2.1294
2018-11-15,2.1370
2018-11-16,2.1519
2018-11-19,2.1859
2018-11-20,2.2197
2018-11-21,2.2318
2018-11-22,2.2260
2018-11-23,2.2347
2018-11-26,2.2581
2018-11-27,2.2747
2018-11-28,2.3486
2018-11-29,2.3455
2018-11-30,2.3189
2018-12-03,2.3083
2018-12-04,2.3801
2018-12-05,2.4226
2018-12-06,2.3975
2018-12-07,2.4061
2018-12-10,2.3842
2018-12-11,2.4235
2018-12-12,2.4666
2018-12-13,2.4153
2018-12-14,2.4201
2018-12-17,2.4204
2018-12-18,2.4657
2018-12-19,2.4738
2018-12-20,2.4191
2018-12-21,2.4241
2018-12-24,2.4393
2018-12-25,2.4508
2018-12-26,2.4188
2018-12-27,2.3856
2018-12-28,2.4292
2018-12-31,2.3883
2019-01-01,2.4303
2019-01-02,2.4161
2019-01-03,2.4272
2019-01-04,2.4511
2019-01-07,2.4229
2019-01-08,2.4550
2019-01-09,2.4131
2019-01-10,2.3888
2019-01-11,2.3929
2019-01-14,2.4531
2019-01-15,2.4663
2019-01-16,2.4397
2019-01-17,2.4220
2019-01-18,2.4222
2019-01-21,2.4103
2019-01-22,2.4630
2019-01-23,2.4978
2019-01-24,2.5365
2019-01-25,2.5346
2019-01-28,2.5189
2019-01-29,2.5210
2019-01-30,2.4985
2019-01-31,2.4826
2019-02-01,2.4529
2019-02-04,2.3867
2019-02-05,2.3882
2019-02-06,2.3486
2019-02-07,2.3333
2019-02-08,2.3194
2019-02-11,2.3317
2019-02-12,2.3026
2019-02-13,2.2772
2019-02-14,2.2982
2019-02-15,2.2963
2019-02-18,2.2827
2019-02-19,2.3080
2019-02-20,2.3037
2019-02-21,2.3048
2019-02-22,2.3148
2019-02-25,2.3005
2019-02-26,2.3251
2019-02-27,2.3080
2019-02-28,2.3046
2019-03-01,2.3485
2019-03-04,2.3693
2019-03-05,2.3903
2019-03-06,2.3999
2019-03-07,2.3738
2019-03-08,2.3546
2019-03-11,2.3449
2019-03-12,2.4305
2019-03-13,2.4201
2019-03-14,2.4278
2019-03-15,2.3822
2019-03-18,2.4088
2019-03-19,2.4091
2019-03-20,2.3764
2019-03-21,2.4313
2019-03-22,2.4250
2019-03-25,2.4699
2019-03-26,2.4929
2019-03-27,2.5064
2019-03-28,2.4973
2019-03-29,2.4902
2019-04-01,2.5310
2019-04-02,2.4783
2019-04-03,2.4644
2019-04-04,2.4498
2019-04-05,2.4465
2019-04-08,2.4174
2019-04-09,2.3810
2019-04-10,2.3595
2019-04-11,2.3682
2019-04-12,2.3723
2019-04-15,2.3553
2019-04-16,2.2780
2019-04-17,2.2746
2019-04-18,2.2578
2019-04-19,2.2075
2019-04-22,2.1877
2019-04-23,2.1710
2019-04-24,2.1268
2019-04-25,2.1048
2019-04-26,2.0197
2019-04-29,1.9793
