DATE,VALUE
2018-01-01,13.8537
2018-01-02,15.9794
2018-01-03,17.7073
2018-01-04,17.0266
2018-01-05,16.3418
2018-01-08,15.8414
2018-01-09,14.8057
2018-01-10,14.4418
2018-01-11,14.5877
2018-01-12,15.0385
2018-01-15,14.8564
2018-01-16,13.5549
2018-01-17,13.0537
2018-01-18,15.0919
2018-01-19,14.8472
2018-01-22,14.2267
2018-01-23,15.3999
2018-01-24,16.0778
2018-01-25,18.3181
2018-01-26,17.5170
2018-01-29,17.0046
2018-01-30,17.7896
2018-01-31,19.9174
2018-02-01,21.8767
2018-02-02,21.6953
2018-02-05,20.7523
2018-02-06,21.5124
2018-02-07,21.4369
2018-02-08,22.4383
2018-02-09,21.4795
2018-02-12,21.2352
2018-02-13,22.0734
2018-02-14,23.8851
2018-02-15,23.1547
2018-02-16,22.7643
2018-02-19,19.9978
2018-02-20,19.0594
2018-02-21,20.4355
2018-02-22,21.2513
2018-02-23,20.5295
2018-02-26,20.9655
2018-02-27,19.2284
2018-02-28,17.8996
2018-03-01,19.5068
2018-03-02,20.6257
2018-03-05,20.6830
2018-03-06,20.4019
2018-03-07,22.2201
2018-03-08,22.4738
2018-03-09,21.5948
2018-03-12,21.3027
2018-03-13,21.5737
2018-03-14,22.3978
2018-03-15,20.8847
2018-03-16,21.5342
2018-03-19,21.0241
2018-03-20,20.0836
2018-03-21,20.5795
2018-03-22,20.7297
2018-03-23,22.5047
2018-03-26,24.4535
2018-03-27,25.3607
2018-03-28,27.0215
2018-03-29,26.6268
2018-03-30,26.1158
2018-04-02,27.6044
2018-04-03,26.3398
2018-04-04,27.9430
2018-04-05,26.1101
2018-04-06,25.3507
2018-04-09,24.7704
2018-04-10,25.1359
2018-04-11,25.3234
2018-04-12,25.5644
2018-04-13,26.2066
2018-04-16,25.1447
2018-04-17,24.5805
2018-04-18,25.1968
2018-04-19,25.2899
2018-04-20,26.6712
2018-04-23,28.4569
2018-04-24,27.2089
2018-04-25,25.3417
2018-04-26,25.7829
2018-04-27,27.3577
2018-04-30,25.4601
2018-05-01,25.2889
2018-05-02,21.8284
2018-05-03,23.9678
2018-05-04,25.5656
2018-05-07,25.5872
2018-05-08,24.4260
2018-05-09,23.0364
2018-05-10,25.4650
2018-05-11,24.2753
2018-05-14,25.2315
2018-05-15,24.4135
2018-05-16,24.8476
2018-05-17,22.8128
2018-05-18,25.3427
2018-05-21,23.3676
2018-05-22,23.7917
2018-05-23,23.6886
2018-05-24,23.2049
2018-05-25,22.5508
2018-05-28,21.8307
2018-05-29,21.6141
2018-05-30,20.7620
2018-05-31,20.3200
2018-06-01,20.3768
2018-06-04,19.1998
2018-06-05,20.2405
2018-06-06,19.8970
2018-06-07,20.6057
2018-06-08,21.0009
2018-06-11,21.6812
2018-06-12,21.2016
2018-06-13,20.1570
2018-06-14,20.9965
2018-06-15,19.4382
2018-06-18,19.3431
2018-06-19,20.3486
2018-06-20,18.7376
2018-06-21,17.9841
2018-06-22,16.9121
2018-06-25,18.1971
2018-06-26,18.9455
2018-06-27,19.3510
2018-06-28,18.9771
2018-06-29,19.0280
2018-07-02,19.3481
2018-07-03,18.9702
2018-07-04,16.9092
2018-07-05,16.0189
2018-07-06,16.2808
2018-07-09,16.0035
2018-07-10,13.9248
2018-07-11,14.2056
2018-07-12,14.0284
2018-07-13,13.0883
2018-07-16,14.6260
2018-07-17,16.1001
2018-07-18,16.1245
2018-07-19,15.9674
2018-07-20,16.3491
2018-07-23,18.6180
2018-07-24,19.9442
2018-07-25,19.6287
2018-07-26,21.0572
2018-07-27,18.3007
2018-07-30,19.9878
2018-07-31,19.5033
2018-08-01,19.0028
2018-08-02,18.7636
2018-08-03,19.1894
2018-08-06,20.7717
2018-08-07,19.7866
2018-08-08,19.8682
2018-08-09,17.7388
2018-08-10,17.0740
2018-08-13,17.1599
2018-08-14,16.6618
2018-08-15,16.8688
2018-08-16,17.0354
2018-08-17,17.0556
2018-08-20,16.8372
2018-08-21,17.4954
2018-08-22,16.3176
2018-08-23,14.0998
2018-08-24,12.4068
2018-08-27,14.0485
2018-08-28,14.4171
2018-08-29,13.7807
2018-08-30,13.7200
2018-08-31,15.7152
2018-09-03,16.6622
2018-09-04,17.3036
2018-09-05,18.3835
2018-09-06,19.3575
2018-09-07,19.5637
2018-09-10,20.2686
2018-09-11,18.6763
2018-09-12,19.0004
2018-09-13,18.7148
2018-09-14,17.8663
2018-09-17,18.6906
2018-09-18,19.1950
2018-09-19,18.7926
2018-09-20,20.1889
2018-09-21,18.2850
2018-09-24,16.0960
2018-09-25,17.5031
2018-09-26,17.4791
2018-09-27,18.4814
2018-09-28,20.5345
2018-10-01,21.9103
2018-10-02,20.9197
2018-10-03,21.3135
2018-10-04,21.4303
2018-10-05,21.0074
2018-10-08,21.9958
2018-10-09,23.5307
2018-10-10,24.2413
2018-10-11,24.3229
2018-10-12,24.7396
2018-10-15,25.9638
2018-10-16,26.3872
2018-10-17,24.7509
2018-10-18,23.1078
2018-10-19,22.9043
2018-10-22,23.9843
2018-10-23,22.2758
2018-10-24,23.9880
2018-10-25,24.5388
2018-10-26,24.5236
2018-10-29,21.9962
2018-10-30,20.5485
2018-10-31,18.6461
2018-11-01,19.6065
2018-11-02,17.1816
2018-11-05,17.9358
2018-11-06,17.9534
2018-11-07,16.1195
2018-11-08,14.1344
2018-11-09,14.2010
2018-11-12,13.3560
2018-11-13,12.9487
2018-11-14,13.5770
2018-11-15,13.3759
2018-11-16,12.5040
2018-11-19,11.7631
2018-11-20,13.0964
2018-11-21,13.1605
2018-11-22,12.3516
2018-11-23,13.5534
2018-11-26,13.6909
2018-11-27,12.7553
2018-11-28,13.0018
2018-11-29,13.1709
2018-11-30,13.2697
2018-12-03,12.6210
2018-12-04,10.5062
2018-12-05,10.9976
2018-12-06,10.9854
2018-12-07,10.1426
2018-12-10,9.7846
2018-12-11,9.1742
2018-12-12,9.0000
2018-12-13,9.0000
2018-12-14,10.3731
2018-12-17,12.7009
2018-12-18,14.2157
2018-12-19,16.1798
2018-12-20,16.1738
2018-12-21,14.9260
2018-12-24,15.7954
2018-12-25,16.5574
2018-12-26,16.0997
2018-12-27,15.2033
2018-12-28,14.6209
2018-12-31,13.9267
2019-01-01,12.6284
2019-01-02,12.8099
2019-01-03,13.7400
2019-01-04,12.5868
2019-01-07,13.5064
2019-01-08,12.2036
2019-01-09,11.2496
2019-01-10,14.2376
2019-01-11,14.7734
2019-01-14,15.6037
2019-01-15,15.3532
2019-01-16,15.4153
