Date,Open,High,Low,Close,Volume
2018-01-01,91.24,91.64,91.17,91.50,65700830
2018-01-02,91.35,91.64,91.04,91.51,39721410
2018-01-03,91.17,91.60,90.82,91.51,37302873
2018-01-04,91.25,91.63,91.16,91.52,4034471
2018-01-05,91.56,91.93,91.52,91.53,76944815
2018-01-08,91.75,92.25,91.23,91.54,29576488
2018-01-09,91.57,91.65,91.37,91.54,47316929
2018-01-10,91.38,92.03,91.30,91.55,33461184
2018-01-11,91.27,91.83,91.14,91.56,27494061
2018-01-12,91.92,91.94,91.33,91.57,56367587
2018-01-15,91.51,91.76,91.21,91.57,86595079
2018-01-16,91.55,91.74,91.49,91.58,73949802
2018-01-17,91.74,91.88,91.41,91.59,54224467
2018-01-18,91.16,91.96,90.80,91.59,80835786
2018-01-19,91.54,91.80,91.16,91.60,30192210
2018-01-22,91.47,91.64,91.43,91.61,17109286
2018-01-23,91.56,91.80,91.53,91.62,40943272
2018-01-24,91.80,92.02,91.32,91.62,68370135
2018-01-25,91.60,91.66,91.35,91.63,56969735
2018-01-26,91.50,91.83,91.34,91.64,58673277
2018-01-29,91.66,91.78,91.35,91.65,89246628
2018-01-30,91.21,91.84,91.15,91.65,31101874
2018-01-31,91.89,91.93,91.53,91.66,83680514
2018-02-01,91.35,92.27,91.04,91.67,66849717
2018-02-02,91.75,91.78,91.40,91.67,45355137
2018-02-05,91.37,91.86,91.02,91.68,64818347
2018-02-06,92.29,92.37,91.35,91.69,79942916
2018-02-07,92.05,92.14,91.59,91.70,78736031
2018-02-08,91.61,91.83,91.53,91.70,26810378
2018-02-09,91.62,92.06,91.26,91.71,16016401
2018-02-12,91.98,91.99,91.36,91.72,76254168
2018-02-13,91.52,92.40,91.50,91.73,18952628
2018-02-14,91.81,92.20,91.51,91.73,74403077
2018-02-15,91.88,92.13,91.48,91.74,45365186
2018-02-16,91.81,91.99,91.38,91.75,9599431
2018-02-19,91.82,92.18,91.70,91.75,73604225
2018-02-20,92.01,92.09,91.45,91.76,79798069
2018-02-21,91.52,92.11,91.34,91.77,54542745
2018-02-22,91.90,92.20,91.75,91.78,29137805
2018-02-23,91.98,92.57,91.59,91.78,9731870
2018-02-26,91.92,91.93,91.78,91.79,60372176
2018-02-27,91.74,91.86,91.35,91.80,82363491
2018-02-28,92.01,92.13,91.64,91.81,55605186
2018-03-01,91.72,92.14,91.69,91.81,89896474
2018-03-02,91.87,92.25,91.39,91.82,72299222
2018-03-05,91.96,92.48,91.81,91.83,26158068
2018-03-06,91.86,92.10,91.61,91.83,33067598
2018-03-07,91.93,91.99,91.73,91.84,16961762
2018-03-08,91.77,92.28,91.76,91.85,46897871
2018-03-09,91.69,91.86,91.34,91.86,32624070
2018-03-12,91.59,91.87,91.39,91.86,43777428
2018-03-13,91.78,92.13,91.66,91.87,8696838
2018-03-14,91.84,91.93,91.59,91.88,45342192
2018-03-15,91.72,92.42,91.51,91.88,20687539
