Date,Open,High,Low,Close,Volume
2018-01-01,126.40,127.01,125.82,126.69,38842067
2018-01-02,127.12,127.56,126.72,126.92,44539681
2018-01-03,127.57,127.82,127.32,127.61,87350361
2018-01-04,125.32,125.56,124.64,125.38,23682831
2018-01-05,124.61,124.88,124.47,124.60,47812621
2018-01-08,126.11,126.72,126.10,126.45,10452600
2018-01-09,126.82,127.01,126.37,126.66,40416578
2018-01-10,126.69,127.91,126.58,127.09,46988237
2018-01-11,127.74,127.83,127.47,127.61,62598983
2018-01-12,126.64,127.60,125.88,126.99,54988319
2018-01-15,126.47,127.16,125.80,126.15,30731078
2018-01-16,124.74,125.58,124.21,124.81,14929897
2018-01-17,123.09,123.73,122.80,123.23,38533217
2018-01-18,123.20,123.67,123.06,123.55,86282546
2018-01-19,123.19,123.39,122.72,123.04,64257771
2018-01-22,119.75,120.59,119.54,119.97,33856744
2018-01-23,122.06,122.33,121.63,122.31,62378686
2018-01-24,124.36,124.81,124.31,124.61,76972816
2018-01-25,126.78,127.37,126.54,126.60,8809392
2018-01-26,127.11,128.17,126.85,127.56,38378591
2018-01-29,128.88,129.30,128.52,128.84,47471345
2018-01-30,131.58,132.21,130.68,131.33,39673898
2018-01-31,130.41,131.02,129.98,130.04,36646463
2018-02-01,131.82,132.38,131.11,132.19,39955150
2018-02-02,134.23,134.75,133.74,134.54,3217796
2018-02-05,135.06,135.27,134.41,134.60,31170990
2018-02-06,135.51,135.91,134.54,135.62,40658312
2018-02-07,136.74,137.44,136.62,137.28,27472514
2018-02-08,137.16,137.71,137.05,137.42,69463667
2018-02-09,137.07,137.75,136.66,137.30,19864497
2018-02-12,137.07,137.19,136.71,136.99,50130651
2018-02-13,135.87,136.58,135.30,136.21,6661456
2018-02-14,136.15,136.71,135.20,136.47,42879075
2018-02-15,134.49,134.77,134.47,134.49,42607718
2018-02-16,133.81,134.04,133.48,133.72,53722875
2018-02-19,133.82,134.35,133.32,134.28,12475638
2018-02-20,133.31,133.75,132.44,133.14,66760173
2018-02-21,135.06,135.93,134.85,135.30,60545141
2018-02-22,133.01,133.45,132.51,132.99,12601124
2018-02-23,134.60,135.12,133.54,134.07,85295990
2018-02-26,136.39,136.67,135.65,135.89,88615911
2018-02-27,136.37,136.81,135.48,136.22,87382165
2018-02-28,137.98,138.44,137.90,137.90,15875483
2018-03-01,138.13,138.55,137.95,137.96,52261232
2018-03-02,138.21,138.82,137.91,138.25,56198593
2018-03-05,137.01,137.32,136.50,137.26,62220963
2018-03-06,137.46,138.25,137.17,137.88,81540183
2018-03-07,141.58,141.93,141.18,141.43,15523911
2018-03-08,141.68,142.32,140.90,141.48,9738618
2018-03-09,142.30,142.90,141.25,142.29,8963765
2018-03-12,139.62,139.71,139.03,139.45,41015313
2018-03-13,138.35,138.67,137.96,138.55,52006154
2018-03-14,136.81,137.45,136.21,137.33,66932427
2018-03-15,135.03,135.21,134.82,134.85,8562727
2018-03-16,136.22,136.48,136.01,136.04,65745207
2018-03-19,137.27,137.44,136.69,137.31,53055342
2018-03-20,137.57,137.90,136.89,137.67,61401270
2018-03-21,138.13,138.23,137.47,137.85,33623494
2018-03-22,135.46,135.83,134.82,135.18,29711014
2018-03-23,135.45,135.73,134.52,135.32,12364033
2018-03-26,138.66,139.66,137.95,138.18,77690907
2018-03-27,141.13,141.19,140.58,140.67,46045569
2018-03-28,141.14,141.32,140.31,141.00,76028121
2018-03-29,139.72,139.91,139.25,139.84,3914668
2018-03-30,140.55,140.70,140.43,140.65,60702485
2018-04-02,139.49,139.75,138.21,139.08,77567540
2018-04-03,139.18,140.32,139.17,139.31,86794085
2018-04-04,136.71,137.53,136.39,136.48,55554061
2018-04-05,137.83,138.26,137.52,137.85,2848925
2018-04-06,139.00,139.27,138.57,138.61,85308807
2018-04-09,138.39,139.61,137.76,138.73,46296464
2018-04-10,138.61,139.51,137.96,138.38,60375471
2018-04-11,138.30,138.64,137.86,138.12,19519231
2018-04-12,139.19,139.60,138.53,139.12,12835433
2018-04-13,140.01,140.88,139.68,140.08,8786702
2018-04-16,140.40,141.04,140.07,140.90,50799675
2018-04-17,140.88,141.20,140.36,140.43,12752999
2018-04-18,140.80,141.00,139.60,140.74,61120512
2018-04-19,139.19,139.21,138.68,139.13,25825624
2018-04-20,138.50,139.00,138.26,138.75,76556552
2018-04-23,135.17,135.97,135.16,135.20,47693307
2018-04-24,135.99,136.88,135.14,135.71,69133999
2018-04-25,134.08,134.57,133.84,134.32,76449184
2018-04-26,134.91,135.12,134.89,134.90,4336447
2018-04-27,136.88,137.48,136.70,136.75,26667954
2018-04-30,135.20,136.55,134.87,135.41,67457773
2018-05-01,135.16,135.43,134.65,135.09,78714842
2018-05-02,135.70,136.15,135.38,135.49,57567134
2018-05-03,135.18,136.07,134.62,135.48,33130253
2018-05-04,135.57,135.74,134.91,135.68,66543617
2018-05-07,134.93,134.99,133.14,134.31,31583572
2018-05-08,134.90,135.55,134.22,135.31,29922818
2018-05-09,136.82,136.85,136.43,136.74,32198146
2018-05-10,136.07,136.11,135.74,135.92,80629669
2018-05-11,134.02,134.47,133.77,134.27,74777623
2018-05-14,133.81,134.31,133.13,133.94,44872505
2018-05-15,132.42,132.65,132.04,132.51,43197883
2018-05-16,131.63,132.32,131.31,132.06,60294222
2018-05-17,131.87,132.52,131.65,132.12,71052450
2018-05-18,131.05,131.64,130.67,131.09,62674884
2018-05-21,131.07,131.23,130.17,130.49,59652515
2018-05-22,131.24,131.57,130.55,131.19,28584466
2018-05-23,133.05,133.45,132.70,133.21,46561576
2018-05-24,133.54,133.75,133.12,133.13,89868908
2018-05-25,133.72,134.29,132.42,133.58,37176670
2018-05-28,134.69,135.09,134.48,134.90,49153853
2018-05-29,134.69,135.34,134.62,134.92,25716035
2018-05-30,137.88,138.73,137.69,137.71,62590906
2018-05-31,137.19,137.40,136.39,137.03,54449270
2018-06-01,137.15,137.39,136.42,137.18,5325695
2018-06-04,136.36,136.60,135.90,136.33,57966586
2018-06-05,136.83,136.91,136.41,136.64,20919112
2018-06-06,137.93,138.25,137.85,137.96,75129604
2018-06-07,137.83,138.87,137.71,138.09,25026859
2018-06-08,138.80,138.83,138.22,138.56,15960719
2018-06-11,138.31,138.98,137.92,137.95,85797125
2018-06-12,138.62,138.85,138.02,138.38,55097355
2018-06-13,138.90,138.97,138.62,138.96,74899136
2018-06-14,138.68,138.88,138.52,138.63,54577501
2018-06-15,137.51,137.90,137.20,137.45,56874808
2018-06-18,136.34,136.81,136.22,136.59,67784597
2018-06-19,138.23,139.18,137.63,138.62,65279805
2018-06-20,137.53,137.91,136.69,137.54,48066614
2018-06-21,137.73,137.97,137.09,137.72,88860290
2018-06-22,137.56,137.89,137.46,137.68,25435101
2018-06-25,137.24,137.77,137.16,137.55,43795775
2018-06-26,138.46,139.21,137.99,138.55,4497734
2018-06-27,139.37,139.46,138.69,139.25,25186855
2018-06-28,138.02,138.42,137.36,138.29,76831574
2018-06-29,139.65,139.78,139.26,139.62,29094707
2018-07-02,139.11,139.70,138.70,139.06,60156929
2018-07-03,137.86,138.18,137.19,138.00,71679416
2018-07-04,138.44,138.85,138.01,138.17,51952672
2018-07-05,137.50,137.67,137.00,137.46,33228034
2018-07-06,138.70,138.83,138.01,138.32,86215376
2018-07-09,135.74,136.69,135.70,136.10,17181345
2018-07-10,136.74,136.95,136.61,136.83,1843942
2018-07-11,138.72,139.29,138.27,138.81,12648494
2018-07-12,138.98,139.57,138.94,139.23,87812143
2018-07-13,142.27,142.94,142.26,142.45,85078739
2018-07-16,141.37,141.98,141.27,141.82,15241974
2018-07-17,140.65,141.03,140.07,140.53,57569659
2018-07-18,139.42,140.05,138.91,139.44,89002128
2018-07-19,137.12,137.76,137.01,137.35,67078412
2018-07-20,139.43,139.82,138.48,139.09,54428347
2018-07-23,139.16,139.35,138.44,138.73,72702662
2018-07-24,137.68,138.91,137.32,138.13,1189893
2018-07-25,138.69,139.16,138.58,138.60,18219374
2018-07-26,138.69,138.85,138.18,138.28,33702552
2018-07-27,138.63,139.22,137.96,138.44,10382514
2018-07-30,137.15,138.03,137.12,137.74,41886014
2018-07-31,136.33,137.11,135.90,136.10,11898261
2018-08-01,137.24,137.60,135.97,136.87,55165604
2018-08-02,139.36,139.98,138.93,139.38,81647218
2018-08-03,140.10,140.44,140.00,140.08,53264206
2018-08-06,142.54,143.05,142.02,142.62,64769935
2018-08-07,143.06,143.58,142.82,143.10,12943235
2018-08-08,144.77,145.15,144.64,144.71,55845311
2018-08-09,143.85,143.97,143.63,143.93,34244000
2018-08-10,144.56,144.64,143.31,144.16,39854606
2018-08-13,142.99,143.03,142.22,142.68,54876274
2018-08-14,141.80,142.10,141.57,141.71,24809588
2018-08-15,141.17,141.84,140.96,141.61,10933354
2018-08-16,143.13,143.62,142.88,142.96,67680348
2018-08-17,144.20,145.09,144.00,144.62,60555631
2018-08-20,145.38,145.69,145.13,145.54,8953263
2018-08-21,144.54,145.23,144.13,144.61,89230220
2018-08-22,142.94,143.64,142.62,143.43,55758987
2018-08-23,143.84,144.03,143.37,143.55,55593171
2018-08-24,143.07,143.22,142.79,143.04,51486570
2018-08-27,142.15,142.54,141.39,141.87,26669052
2018-08-28,141.66,142.28,141.27,141.73,15043786
2018-08-29,141.64,142.23,141.52,141.86,77409988
2018-08-30,140.09,140.83,140.08,140.28,81804038
2018-08-31,141.56,142.02,141.17,141.40,85032600
2018-09-03,142.03,142.37,141.56,142.15,40894794
