Date,Open,High,Low,Close,Volume
2018-01-01,269.67,270.22,267.81,269.93,26269499
2018-01-02,269.54,270.82,267.98,269.27,34095281
2018-01-03,264.80,266.48,264.17,264.72,17027367
2018-01-04,264.25,264.70,263.99,264.05,50795882
2018-01-05,263.43,263.88,262.17,263.48,20315066
2018-01-08,259.47,260.27,259.25,259.50,30521636
2018-01-09,256.66,257.48,255.73,256.07,40530620
2018-01-10,260.02,261.66,259.83,260.06,55229713
2018-01-11,263.10,263.58,261.78,262.87,5684933
2018-01-12,262.17,262.81,261.32,262.32,66903825
2018-01-15,258.00,258.42,257.20,257.52,79844851
2018-01-16,256.82,256.97,255.39,256.26,5037303
2018-01-17,255.77,257.43,255.01,256.03,80731922
2018-01-18,257.63,258.52,257.58,257.93,9336936
2018-01-19,261.04,262.11,260.93,261.71,48815643
2018-01-22,261.24,262.53,260.87,261.58,4638464
2018-01-23,264.97,267.58,264.29,264.47,67729482
2018-01-24,263.47,263.50,261.55,262.58,70371725
2018-01-25,259.75,261.50,259.71,260.31,56890990
2018-01-26,257.75,258.69,257.02,257.42,43674906
2018-01-29,257.06,257.64,256.30,257.47,81887758
2018-01-30,253.13,253.76,252.25,253.43,83884594
2018-01-31,253.03,253.34,252.56,252.69,48112821
2018-02-01,251.45,253.32,251.18,252.04,20977546
2018-02-02,249.67,250.34,249.03,249.35,36878461
2018-02-05,249.34,250.40,249.11,249.83,45221713
2018-02-06,254.43,254.99,253.69,253.97,36004766
2018-02-07,254.74,255.42,254.47,255.05,10916999
2018-02-08,257.85,258.23,257.16,257.23,47969398
2018-02-09,261.83,262.33,260.88,261.45,19418508
2018-02-12,258.57,259.35,257.40,258.27,48598315
2018-02-13,257.37,259.29,256.93,257.92,66563252
2018-02-14,259.86,259.98,259.47,259.61,82555972
2018-02-15,258.56,259.08,258.43,258.47,45665168
2018-02-16,257.08,258.06,256.53,256.54,33088504
2018-02-19,256.83,257.82,255.73,256.35,80602754
2018-02-20,253.23,253.99,252.66,253.64,34510788
2018-02-21,251.85,253.75,251.22,252.08,55822643
2018-02-22,255.97,257.05,253.94,254.53,43623582
2018-02-23,254.85,255.65,254.40,254.93,70069415
2018-02-26,254.24,254.90,253.92,254.24,37819844
2018-02-27,254.25,254.67,253.75,254.34,67468562
2018-02-28,258.33,259.09,256.79,257.41,56535694
2018-03-01,255.96,257.05,255.71,255.92,77229893
2018-03-02,257.76,257.92,257.15,257.59,44322722
2018-03-05,254.95,255.94,254.87,254.97,78946655
2018-03-06,253.66,254.23,252.30,252.94,6410954
2018-03-07,257.31,258.50,256.65,256.95,13605375
2018-03-08,263.90,265.09,261.97,263.56,83416488
2018-03-09,261.52,263.38,260.77,262.53,80806025
2018-03-12,259.79,259.88,259.17,259.80,57987412
2018-03-13,256.59,256.98,255.84,256.45,25618703
2018-03-14,257.59,257.63,257.47,257.56,5480896
2018-03-15,255.84,257.02,255.00,255.95,64343212
2018-03-16,252.85,254.05,251.64,253.04,76141983
2018-03-19,254.43,255.08,252.33,253.32,42292299
2018-03-20,246.78,247.07,246.70,246.88,48338056
2018-03-21,250.40,250.86,249.33,249.69,36977800
2018-03-22,253.34,253.69,252.33,252.87,32719628
2018-03-23,261.19,262.66,259.50,259.73,1777887
2018-03-26,269.70,270.22,269.11,270.07,52815766
2018-03-27,271.24,272.51,270.36,271.33,21990159
2018-03-28,275.81,276.06,275.60,275.78,67494872
2018-03-29,274.73,275.22,273.95,274.34,22784000
2018-03-30,274.67,275.24,273.99,274.66,61009921
2018-04-02,279.83,280.53,279.27,280.06,34479128
2018-04-03,272.96,274.09,272.04,273.29,60371148
2018-04-04,274.37,276.28,274.16,274.98,11753576
2018-04-05,273.31,275.10,273.20,274.32,2038156
2018-04-06,276.60,277.16,276.59,276.72,34628120
2018-04-09,280.97,281.94,280.02,280.02,68104447
2018-04-10,283.01,284.16,279.98,283.39,20949411
2018-04-11,284.49,285.64,283.65,284.72,13407463
2018-04-12,287.08,287.39,286.29,286.80,44993689
2018-04-13,292.12,292.48,291.59,292.26,72362882
